year,month_num,month,date,metric_raw,metric,value,source_sheet
2021,1,Jan,2021-01-01,Total Passengers,Total Passengers,151860,2021
2021,2,Feb,2021-02-01,Total Passengers,Total Passengers,152293,2021
2021,3,Mar,2021-03-01,Total Passengers,Total Passengers,259491,2021
2021,4,Apr,2021-04-01,Total Passengers,Total Passengers,298784,2021
2021,5,May,2021-05-01,Total Passengers,Total Passengers,366937,2021
2021,6,Jun,2021-06-01,Total Passengers,Total Passengers,431085,2021
2021,7,Jul,2021-07-01,Total Passengers,Total Passengers,477966,2021
2021,8,Aug,2021-08-01,Total Passengers,Total Passengers,467622,2021
2021,9,Sep,2021-09-01,Total Passengers,Total Passengers,453174,2021
2021,10,Oct,2021-10-01,Total Passengers,Total Passengers,494727,2021
2021,11,Nov,2021-11-01,Total Passengers,Total Passengers,475502,2021
2021,12,Dec,2021-12-01,Total Passengers,Total Passengers,467151,2021
2021,1,Jan,2021-01-01,Inbound (deplaned),Inbound (deplaned),76446,2021
2021,2,Feb,2021-02-01,Inbound (deplaned),Inbound (deplaned),76291,2021
2021,3,Mar,2021-03-01,Inbound (deplaned),Inbound (deplaned),128969,2021
2021,4,Apr,2021-04-01,Inbound (deplaned),Inbound (deplaned),150059,2021
2021,5,May,2021-05-01,Inbound (deplaned),Inbound (deplaned),185980,2021
2021,6,Jun,2021-06-01,Inbound (deplaned),Inbound (deplaned),214390,2021
2021,7,Jul,2021-07-01,Inbound (deplaned),Inbound (deplaned),239446,2021
2021,8,Aug,2021-08-01,Inbound (deplaned),Inbound (deplaned),233704,2021
2021,9,Sep,2021-09-01,Inbound (deplaned),Inbound (deplaned),226024,2021
2021,10,Oct,2021-10-01,Inbound (deplaned),Inbound (deplaned),249217,2021
2021,11,Nov,2021-11-01,Inbound (deplaned),Inbound (deplaned),238764,2021
2021,12,Dec,2021-12-01,Inbound (deplaned),Inbound (deplaned),234009,2021
2021,1,Jan,2021-01-01,Outbound (enplaned),Outbound (enplaned),75414,2021
2021,2,Feb,2021-02-01,Outbound (enplaned),Outbound (enplaned),76002,2021
2021,3,Mar,2021-03-01,Outbound (enplaned),Outbound (enplaned),130522,2021
2021,4,Apr,2021-04-01,Outbound (enplaned),Outbound (enplaned),148725,2021
2021,5,May,2021-05-01,Outbound (enplaned),Outbound (enplaned),180957,2021
2021,6,Jun,2021-06-01,Outbound (enplaned),Outbound (enplaned),216695,2021
2021,7,Jul,2021-07-01,Outbound (enplaned),Outbound (enplaned),238520,2021
2021,8,Aug,2021-08-01,Outbound (enplaned),Outbound (enplaned),233918,2021
2021,9,Sep,2021-09-01,Outbound (enplaned),Outbound (enplaned),227150,2021
2021,10,Oct,2021-10-01,Outbound (enplaned),Outbound (enplaned),245510,2021
2021,11,Nov,2021-11-01,Outbound (enplaned),Outbound (enplaned),236738,2021
2021,12,Dec,2021-12-01,Outbound (enplaned),Outbound (enplaned),233142,2021
2021,1,Jan,2021-01-01,Freight (tons),Freight (tons),70547,2021
2021,2,Feb,2021-02-01,Freight (tons),Freight (tons),62806,2021
2021,3,Mar,2021-03-01,Freight (tons),Freight (tons),74367,2021
2021,4,Apr,2021-04-01,Freight (tons),Freight (tons),70422,2021
2021,5,May,2021-05-01,Freight (tons),Freight (tons),65124,2021
2021,6,Jun,2021-06-01,Freight (tons),Freight (tons),69582,2021
2021,7,Jul,2021-07-01,Freight (tons),Freight (tons),66407,2021
2021,8,Aug,2021-08-01,Freight (tons),Freight (tons),64316,2021
2021,9,Sep,2021-09-01,Freight (tons),Freight (tons),66380,2021
2021,10,Oct,2021-10-01,Freight (tons),Freight (tons),67862,2021
2021,11,Nov,2021-11-01,Freight (tons),Freight (tons),70073,2021
2021,12,Dec,2021-12-01,Freight (tons),Freight (tons),92068,2021
2021,1,Jan,2021-01-01,Mail (tons),Mail (tons),3225,2021
2021,2,Feb,2021-02-01,Mail (tons),Mail (tons),3246,2021
2021,3,Mar,2021-03-01,Mail (tons),Mail (tons),3828,2021
2021,4,Apr,2021-04-01,Mail (tons),Mail (tons),4085,2021
2021,5,May,2021-05-01,Mail (tons),Mail (tons),3955,2021
2021,6,Jun,2021-06-01,Mail (tons),Mail (tons),3843,2021
2021,7,Jul,2021-07-01,Mail (tons),Mail (tons),4094,2021
2021,8,Aug,2021-08-01,Mail (tons),Mail (tons),3881,2021
2021,9,Sep,2021-09-01,Mail (tons),Mail (tons),4269,2021
2021,10,Oct,2021-10-01,Mail (tons),Mail (tons),5039,2021
2021,11,Nov,2021-11-01,Mail (tons),Mail (tons),5504,2021
2021,12,Dec,2021-12-01,Mail (tons),Mail (tons),5459,2021
2021,1,Jan,2021-01-01,Total Freight and Mail,Total Freight and Mail,73772,2021
2021,2,Feb,2021-02-01,Total Freight and Mail,Total Freight and Mail,66052,2021
2021,3,Mar,2021-03-01,Total Freight and Mail,Total Freight and Mail,78195,2021
2021,4,Apr,2021-04-01,Total Freight and Mail,Total Freight and Mail,74508,2021
2021,5,May,2021-05-01,Total Freight and Mail,Total Freight and Mail,69078,2021
2021,6,Jun,2021-06-01,Total Freight and Mail,Total Freight and Mail,73426,2021
2021,7,Jul,2021-07-01,Total Freight and Mail,Total Freight and Mail,70500,2021
2021,8,Aug,2021-08-01,Total Freight and Mail,Total Freight and Mail,68198,2021
2021,9,Sep,2021-09-01,Total Freight and Mail,Total Freight and Mail,70649,2021
2021,10,Oct,2021-10-01,Total Freight and Mail,Total Freight and Mail,72901,2021
2021,11,Nov,2021-11-01,Total Freight and Mail,Total Freight and Mail,75576,2021
2021,12,Dec,2021-12-01,Total Freight and Mail,Total Freight and Mail,97527,2021
2022,1,Jan,2022-01-01,Total Passengers,Total Passengers,339736,2022
2022,2,Feb,2022-02-01,Total Passengers,Total Passengers,357880,2022
2022,3,Mar,2022-03-01,Total Passengers,Total Passengers,454023,2022
2022,4,Apr,2022-04-01,Total Passengers,Total Passengers,475741,2022
2022,5,May,2022-05-01,Total Passengers,Total Passengers,519085,2022
2022,6,Jun,2022-06-01,Total Passengers,Total Passengers,514225,2022
2022,7,Jul,2022-07-01,Total Passengers,Total Passengers,520347,2022
2022,8,Aug,2022-08-01,Total Passengers,Total Passengers,511275,2022
2022,9,Sep,2022-09-01,Total Passengers,Total Passengers,516945,2022
2022,10,Oct,2022-10-01,Total Passengers,Total Passengers,541730,2022
2022,11,Nov,2022-11-01,Total Passengers,Total Passengers,512045,2022
2022,12,Dec,2022-12-01,Total Passengers,Total Passengers,477302,2022
2022,1,Jan,2022-01-01,Inbound (deplaned),Inbound (deplaned),170600,2022
2022,2,Feb,2022-02-01,Inbound (deplaned),Inbound (deplaned),177012,2022
2022,3,Mar,2022-03-01,Inbound (deplaned),Inbound (deplaned),225556,2022
2022,4,Apr,2022-04-01,Inbound (deplaned),Inbound (deplaned),237180,2022
2022,5,May,2022-05-01,Inbound (deplaned),Inbound (deplaned),258928,2022
2022,6,Jun,2022-06-01,Inbound (deplaned),Inbound (deplaned),251931,2022
2022,7,Jul,2022-07-01,Inbound (deplaned),Inbound (deplaned),259698,2022
2022,8,Aug,2022-08-01,Inbound (deplaned),Inbound (deplaned),254889,2022
2022,9,Sep,2022-09-01,Inbound (deplaned),Inbound (deplaned),257887,2022
2022,10,Oct,2022-10-01,Inbound (deplaned),Inbound (deplaned),271312,2022
2022,11,Nov,2022-11-01,Inbound (deplaned),Inbound (deplaned),255677,2022
2022,12,Dec,2022-12-01,Inbound (deplaned),Inbound (deplaned),239579,2022
2022,1,Jan,2022-01-01,Outbound (enplaned),Outbound (enplaned),169136,2022
2022,2,Feb,2022-02-01,Outbound (enplaned),Outbound (enplaned),180868,2022
2022,3,Mar,2022-03-01,Outbound (enplaned),Outbound (enplaned),228467,2022
2022,4,Apr,2022-04-01,Outbound (enplaned),Outbound (enplaned),238561,2022
2022,5,May,2022-05-01,Outbound (enplaned),Outbound (enplaned),260157,2022
2022,6,Jun,2022-06-01,Outbound (enplaned),Outbound (enplaned),262294,2022
2022,7,Jul,2022-07-01,Outbound (enplaned),Outbound (enplaned),260649,2022
2022,8,Aug,2022-08-01,Outbound (enplaned),Outbound (enplaned),256386,2022
2022,9,Sep,2022-09-01,Outbound (enplaned),Outbound (enplaned),259058,2022
2022,10,Oct,2022-10-01,Outbound (enplaned),Outbound (enplaned),270418,2022
2022,11,Nov,2022-11-01,Outbound (enplaned),Outbound (enplaned),256368,2022
2022,12,Dec,2022-12-01,Outbound (enplaned),Outbound (enplaned),237723,2022
2022,1,Jan,2022-01-01,Freight (tons),Freight (tons),64056,2022
2022,2,Feb,2022-02-01,Freight (tons),Freight (tons),56481,2022
2022,3,Mar,2022-03-01,Freight (tons),Freight (tons),67795,2022
2022,4,Apr,2022-04-01,Freight (tons),Freight (tons),62291,2022
2022,5,May,2022-05-01,Freight (tons),Freight (tons),62454,2022
2022,6,Jun,2022-06-01,Freight (tons),Freight (tons),67504,2022
2022,7,Jul,2022-07-01,Freight (tons),Freight (tons),63897,2022
2022,8,Aug,2022-08-01,Freight (tons),Freight (tons),67214,2022
2022,9,Sep,2022-09-01,Freight (tons),Freight (tons),65831,2022
2022,10,Oct,2022-10-01,Freight (tons),Freight (tons),64449,2022
2022,11,Nov,2022-11-01,Freight (tons),Freight (tons),70374,2022
2022,12,Dec,2022-12-01,Freight (tons),Freight (tons),84578,2022
2022,1,Jan,2022-01-01,Mail (tons),Mail (tons),4529,2022
2022,2,Feb,2022-02-01,Mail (tons),Mail (tons),4376,2022
2022,3,Mar,2022-03-01,Mail (tons),Mail (tons),5303,2022
2022,4,Apr,2022-04-01,Mail (tons),Mail (tons),4860,2022
2022,5,May,2022-05-01,Mail (tons),Mail (tons),4556,2022
2022,6,Jun,2022-06-01,Mail (tons),Mail (tons),4478,2022
2022,7,Jul,2022-07-01,Mail (tons),Mail (tons),4269,2022
2022,8,Aug,2022-08-01,Mail (tons),Mail (tons),4487,2022
2022,9,Sep,2022-09-01,Mail (tons),Mail (tons),4196,2022
2022,10,Oct,2022-10-01,Mail (tons),Mail (tons),4134,2022
2022,11,Nov,2022-11-01,Mail (tons),Mail (tons),4307,2022
2022,12,Dec,2022-12-01,Mail (tons),Mail (tons),5468,2022
2022,1,Jan,2022-01-01,Total Freight and Mail,Total Freight and Mail,68585,2022
2022,2,Feb,2022-02-01,Total Freight and Mail,Total Freight and Mail,60857,2022
2022,3,Mar,2022-03-01,Total Freight and Mail,Total Freight and Mail,73098,2022
2022,4,Apr,2022-04-01,Total Freight and Mail,Total Freight and Mail,67152,2022
2022,5,May,2022-05-01,Total Freight and Mail,Total Freight and Mail,67010,2022
2022,6,Jun,2022-06-01,Total Freight and Mail,Total Freight and Mail,71982,2022
2022,7,Jul,2022-07-01,Total Freight and Mail,Total Freight and Mail,68167,2022
2022,8,Aug,2022-08-01,Total Freight and Mail,Total Freight and Mail,71700,2022
2022,9,Sep,2022-09-01,Total Freight and Mail,Total Freight and Mail,70027,2022
2022,10,Oct,2022-10-01,Total Freight and Mail,Total Freight and Mail,68583,2022
2022,11,Nov,2022-11-01,Total Freight and Mail,Total Freight and Mail,74682,2022
2022,12,Dec,2022-12-01,Total Freight and Mail,Total Freight and Mail,90046,2022
2023,1,Jan,2023-01-01,Total Passengers,Total Passengers,428868,2023
2023,2,Feb,2023-02-01,Total Passengers,Total Passengers,412924,2023
2023,3,Mar,2023-03-01,Total Passengers,Total Passengers,501250,2023
2023,4,Apr,2023-04-01,Total Passengers,Total Passengers,530733,2023
2023,5,May,2023-05-01,Total Passengers,Total Passengers,556933,2023
2023,6,Jun,2023-06-01,Total Passengers,Total Passengers,559447,2023
2023,7,Jul,2023-07-01,Total Passengers,Total Passengers,582575,2023
2023,8,Aug,2023-08-01,Total Passengers,Total Passengers,567508,2023
2023,9,Sep,2023-09-01,Total Passengers,Total Passengers,556213,2023
2023,10,Oct,2023-10-01,Total Passengers,Total Passengers,606497,2023
2023,11,Nov,2023-11-01,Total Passengers,Total Passengers,575877,2023
2023,12,Dec,2023-12-01,Total Passengers,Total Passengers,551161,2023
2023,1,Jan,2023-01-01,Inbound (deplaned),Inbound (deplaned),215180,2023
2023,2,Feb,2023-02-01,Inbound (deplaned),Inbound (deplaned),206896,2023
2023,3,Mar,2023-03-01,Inbound (deplaned),Inbound (deplaned),247653,2023
2023,4,Apr,2023-04-01,Inbound (deplaned),Inbound (deplaned),264740,2023
2023,5,May,2023-05-01,Inbound (deplaned),Inbound (deplaned),278055,2023
2023,6,Jun,2023-06-01,Inbound (deplaned),Inbound (deplaned),275672,2023
2023,7,Jul,2023-07-01,Inbound (deplaned),Inbound (deplaned),292357,2023
2023,8,Aug,2023-08-01,Inbound (deplaned),Inbound (deplaned),284984,2023
2023,9,Sep,2023-09-01,Inbound (deplaned),Inbound (deplaned),279166,2023
2023,10,Oct,2023-10-01,Inbound (deplaned),Inbound (deplaned),303459,2023
2023,11,Nov,2023-11-01,Inbound (deplaned),Inbound (deplaned),288550,2023
2023,12,Dec,2023-12-01,Inbound (deplaned),Inbound (deplaned),275514,2023
2023,1,Jan,2023-01-01,Outbound (enplaned),Outbound (enplaned),213688,2023
2023,2,Feb,2023-02-01,Outbound (enplaned),Outbound (enplaned),206028,2023
2023,3,Mar,2023-03-01,Outbound (enplaned),Outbound (enplaned),253597,2023
2023,4,Apr,2023-04-01,Outbound (enplaned),Outbound (enplaned),265993,2023
2023,5,May,2023-05-01,Outbound (enplaned),Outbound (enplaned),278878,2023
2023,6,Jun,2023-06-01,Outbound (enplaned),Outbound (enplaned),283775,2023
2023,7,Jul,2023-07-01,Outbound (enplaned),Outbound (enplaned),290218,2023
2023,8,Aug,2023-08-01,Outbound (enplaned),Outbound (enplaned),282524,2023
2023,9,Sep,2023-09-01,Outbound (enplaned),Outbound (enplaned),277047,2023
2023,10,Oct,2023-10-01,Outbound (enplaned),Outbound (enplaned),303038,2023
2023,11,Nov,2023-11-01,Outbound (enplaned),Outbound (enplaned),287327,2023
2023,12,Dec,2023-12-01,Outbound (enplaned),Outbound (enplaned),275647,2023
2023,1,Jan,2023-01-01,Freight (tons),Freight (tons),58381,2023
